precinct_id,county,precinct_name,precinct_number,ward,polling_location_ids,source,INTERNAL_notes,,,,
330110008,BANKS,GROVE RIVER,,,440110008,GA Secretary of State Elections Division,,,,,
330110009,BANKS,HOLLINGSWORTH,,,440110009,GA Secretary of State Elections Division,,,,,
330110010,BANKS,HOMER,,,440110010,GA Secretary of State Elections Division,,,,,
330110011,BANKS,POPLAR SPRINGS,,,440110011,GA Secretary of State Elections Division,,,,,
330110012,BANKS,WASHINGTON,,,440110012,GA Secretary of State Elections Division,,,,,
330110013,BANKS,WILMONTS,,,440110013,GA Secretary of State Elections Division,,,,,
330130001,BARROW,1,1,,440130001,GA Secretary of State Elections Division,,,,,
330130002,BARROW,2,2,,440130002,GA Secretary of State Elections Division,,,,,
330130003,BARROW,3,3,,440130003,GA Secretary of State Elections Division,,,,,
330130004,BARROW,4,4,,440130004,GA Secretary of State Elections Division,,,,,
330130005,BARROW,5,5,,440130005,GA Secretary of State Elections Division,,,,,
330130006,BARROW,6,6,,440130006,GA Secretary of State Elections Division,,,,,
330130007,BARROW,7,7,,440130007,GA Secretary of State Elections Division,,,,,
330130008,BARROW,8,8,,440130008,GA Secretary of State Elections Division,,,,,
330130009,BARROW,9,9,,440130009,GA Secretary of State Elections Division,,,,,
330130010,BARROW,10,10,,440130010,GA Secretary of State Elections Division,,,,,
330130011,BARROW,11,11,,440130011,GA Secretary of State Elections Division,,,,,
330130012,BARROW,12,12,,440130012,GA Secretary of State Elections Division,,,,,
330130013,BARROW,13,13,,440130013,GA Secretary of State Elections Division,,,,,
330130014,BARROW,14,14,,440130014,GA Secretary of State Elections Division,,,,,
330130015,BARROW,15,15,,440130015,GA Secretary of State Elections Division,,,,,
330130016,BARROW,16,16,,440130016,GA Secretary of State Elections Division,,,,,
330150001,BARTOW,ADAIRSVILLE,,,440150001,GA Secretary of State Elections Division,,,,,
330150002,BARTOW,ALLATOONA,,,440150002,GA Secretary of State Elections Division,,,,,
330150003,BARTOW,BEAVERS DRIVE,,,440150003,GA Secretary of State Elections Division,,,,,
330150004,BARTOW,CARTERSVILLE EAST,,,440150004,GA Secretary of State Elections Division,,,,,
330150005,BARTOW,CARTERSVILLE WEST,,,440150005,GA Secretary of State Elections Division,,,,,
330150006,BARTOW,CASSVILLE,,,440150006,GA Secretary of State Elections Division,,,,,
330150007,BARTOW,CENTER,,,440150007,GA Secretary of State Elections Division,,,,,
330150008,BARTOW,EMERSON,,,440150008,GA Secretary of State Elections Division,,,,,
330150009,BARTOW,EUHARLEE,,,440150009,GA Secretary of State Elections Division,,,,,
330150010,BARTOW,FOLSOM,,,440150010,GA Secretary of State Elections Division,,,,,
330150011,BARTOW,KINGSTON,,,440150011,GA Secretary of State Elections Division,,,,,
330150012,BARTOW,MISSION ROAD,,,440150012,GA Secretary of State Elections Division,,,,,
330150013,BARTOW,PINE LOG,,,440150013,GA Secretary of State Elections Division,,,,,
330150014,BARTOW,TAYLORSVILLE,,,440150014,GA Secretary of State Elections Division,,,,,
330150015,BARTOW,WHITE,,,440150015,GA Secretary of State Elections Division,,,,,
330150016,BARTOW,WOODLAND HIGH,,,440150016,GA Secretary of State Elections Division,,,,,
330150017,BARTOW,ZENA DRIVE,,,440150017,GA Secretary of State Elections Division,,,,,
330170001,BEN HILL,EAST,,,440170001,GA Secretary of State Elections Division,,,,,
330170002,BEN HILL,SPECIAL EAST,,,440170005,GA Secretary of State Elections Division,,,,,
330170003,BEN HILL,SPECIAL WEST,,,440170003,GA Secretary of State Elections Division,,,,,
330170004,BEN HILL,WEST,,,440170002,GA Secretary of State Elections Division,,,,,
330170005,BEN HILL,WILLIAMSON MILL,,,440170004,GA Secretary of State Elections Division,,,,,
330190001,BERRIEN,ALAPAHA,,,440190002,GA Secretary of State Elections Division,,,,,
330190002,BERRIEN,EAST BERRIEN,,,440190004,GA Secretary of State Elections Division,Called Berrien County: 229-686-5215 to verify precinct,,,,
330190003,BERRIEN,ENIGMA,,,440190003,GA Secretary of State Elections Division,,,,,
330190004,BERRIEN,LOIS,,,440190005,GA Secretary of State Elections Division,,,,,
330190005,BERRIEN,NASHVILLE,,,440190006,GA Secretary of State Elections Division,,,,,
330190006,BERRIEN,RAY CITY,,,440190007,GA Secretary of State Elections Division,,,,,
330190007,BERRIEN,WEST BERRIEN,,,440190001,GA Secretary of State Elections Division,,,,,
330210001,BIBB,EAST MACON 1,,,440210001,GA Secretary of State Elections Division,,,,,
330210002,BIBB,EAST MACON 2,,,440210002,GA Secretary of State Elections Division,,,,,
330210003,BIBB,EAST MACON 3,,,440210003,GA Secretary of State Elections Division,,,,,
330210004,BIBB,EAST MACON 4,,,440210004,GA Secretary of State Elections Division,,,,,
330210005,BIBB,EAST MACON 5,,,440210005,GA Secretary of State Elections Division,,,,,
330210006,BIBB,EAST MACON 6,,,440210006,GA Secretary of State Elections Division,,,,,
330210007,BIBB,GODFREY 1,,,440210007,GA Secretary of State Elections Division,,,,,
330210008,BIBB,GODFREY 2,,,440210008,GA Secretary of State Elections Division,,,,,
330210009,BIBB,GODFREY 3,,,440210009,GA Secretary of State Elections Division,,,,,
330210010,BIBB,GODFREY 4,,,440210010,GA Secretary of State Elections Division,,,,,
330210011,BIBB,GODFREY 5,,,440210011,GA Secretary of State Elections Division,,,,,
330210012,BIBB,GODFREY 6,,,440210012,GA Secretary of State Elections Division,,,,,
330210013,BIBB,GODFREY 7,,,440210013,GA Secretary of State Elections Division,,,,,
330210014,BIBB,HAZZARD 1,,,440210014,GA Secretary of State Elections Division,,,,,
330210015,BIBB,HAZZARD 2,,,440210015,GA Secretary of State Elections Division,,,,,
330210016,BIBB,HAZZARD 3,,,440210016,GA Secretary of State Elections Division,,,,,
330210017,BIBB,HAZZARD 4,,,440210017,GA Secretary of State Elections Division,,,,,
330210018,BIBB,HAZZARD 5,,,440210018,GA Secretary of State Elections Division,,,,,
330210019,BIBB,HAZZARD 6,,,440210019,GA Secretary of State Elections Division,,,,,
330210020,BIBB,HAZZARD 7,,,440210020,GA Secretary of State Elections Division,,,,,
330210021,BIBB,HOWARD 1,,,440210021,GA Secretary of State Elections Division,,,,,
330210022,BIBB,HOWARD 2,,,440210022,GA Secretary of State Elections Division,,,,,
330210023,BIBB,HOWARD 3,,,440210023,GA Secretary of State Elections Division,,,,,
330210024,BIBB,HOWARD 4,,,440210024,GA Secretary of State Elections Division,,,,,
330210025,BIBB,HOWARD 5,,,440210025,GA Secretary of State Elections Division,,,,,
330210026,BIBB,HOWARD 6,,,440210026,GA Secretary of State Elections Division,,,,,
330210027,BIBB,HOWARD 7,,,440210027,GA Secretary of State Elections Division,,,,,
330210028,BIBB,HOWARD 8,,,440210028,GA Secretary of State Elections Division,,,,,
330210029,BIBB,RUTLAND 1,,,440210029,GA Secretary of State Elections Division,,,,,
330210030,BIBB,RUTLAND 2,,,440210030,GA Secretary of State Elections Division,,,,,
330210031,BIBB,VINEVILLE 1,,,440210031,GA Secretary of State Elections Division,,,,,
330210032,BIBB,VINEVILLE 2,,,440210032,GA Secretary of State Elections Division,,,,,
330210033,BIBB,VINEVILLE 3,,,440210033,GA Secretary of State Elections Division,,,,,
330210034,BIBB,VINEVILLE 4,,,440210034,GA Secretary of State Elections Division,,,,,
330210035,BIBB,VINEVILLE 5,,,440210035,GA Secretary of State Elections Division,,,,,
330210036,BIBB,VINEVILLE 6,,,440210036,GA Secretary of State Elections Division,,,,,
330210037,BIBB,VINEVILLE 7,,,440210037,GA Secretary of State Elections Division,,,,,
330210038,BIBB,VINEVILLE 7P,,,440210037,GA Secretary of State Elections Division,,,,,
330210039,BIBB,VINEVILLE 8,,,440210038,GA Secretary of State Elections Division,,,,,
330210040,BIBB,WARRIOR 1,,,440210039,GA Secretary of State Elections Division,,,,,
330210041,BIBB,WARRIOR 2,,,440210040,GA Secretary of State Elections Division,,,,,
330230001,BLECKLEY,FAIRGROUND,,,440230001,GA Secretary of State Elections Division,,,,,
330250001,BRANTLEY,ATKINSON,,,440250001,GA Secretary of State Elections Division,,,,,
330250002,BRANTLEY,CALVARY,,,440250002,GA Secretary of State Elections Division,,,,,
330250003,BRANTLEY,HICKOX,,,440250003,GA Secretary of State Elections Division,,,,,
330250004,BRANTLEY,HOBOKEN,,,440250004,GA Secretary of State Elections Division,,,,,
330250005,BRANTLEY,HORTENSE,,,440250005,GA Secretary of State Elections Division,,,,,
330250006,BRANTLEY,LULATON,,,440250006,GA Secretary of State Elections Division,,,,,
330250007,BRANTLEY,NAHUNTA,,,440250007,GA Secretary of State Elections Division,,,,,
330250008,BRANTLEY,SCHLATTERVILLE,,,440250008,GA Secretary of State Elections Division,,,,,
330250009,BRANTLEY,WAYNESVILLE,,,440250009,GA Secretary of State Elections Division,,,,,
330270001,BROOKS,BARNEY,,,440270001,GA Secretary of State Elections Division,Confirmed precincts numbers with Ken from Brooks County: (229) 263-9939,,,,
330270002,BROOKS,BARWICK/DRYLAKE,,,440270002,GA Secretary of State Elections Division,Confirmed precincts numbers with Ken from Brooks County: (229) 263-9939,,,,
330270003,BROOKS,DIXIE,,,440270003,GA Secretary of State Elections Division,Confirmed precincts numbers with Ken from Brooks County: (229) 263-9939,,,,
330270004,BROOKS,E.BROOKS/BRIGGS,,,440270004,GA Secretary of State Elections Division,Confirmed precincts numbers with Ken from Brooks County: (229) 263-9939,,,,
330270005,BROOKS,GROOVERVILLE,,,440270005,GA Secretary of State Elections Division,Confirmed precincts numbers with Ken from Brooks County: (229) 263-9939,,,,
330270006,BROOKS,MORVEN,,,440270006,GA Secretary of State Elections Division,Confirmed precincts numbers with Ken from Brooks County: (229) 263-9939,,,,
330270007,BROOKS,PAVO/WILLIAMS,,,440270007,GA Secretary of State Elections Division,Confirmed precincts numbers with Ken from Brooks County: (229) 263-9939,,,229-263-5561,263-9939
330270008,BROOKS,QUITMAN,,,440270008,GA Secretary of State Elections Division,Confirmed precincts numbers with Ken from Brooks County: (229) 263-9939,,,,
330270009,BROOKS,S.BROOKS/NANKIN,,,440270009,GA Secretary of State Elections Division,Confirmed precincts numbers with Ken from Brooks County: (229) 263-9939,,,,
330290001,BRYAN,BLACK CREEK,PRECINCT 3,,440290003,GA Secretary of State Elections Division,,,,,
330290002,BRYAN,DANIELSIDING,PRECINCT 10,,440290010,GA Secretary of State Elections Division,,,,,
330290003,BRYAN,ELLABELL,PRECINCT 2,,440290002,GA Secretary of State Elections Division,,,,,
330290004,BRYAN,HWY 144 EAST,PRECINCT 8,,440290008,GA Secretary of State Elections Division,,,,,
330290005,BRYAN,J.F.GREGORY PARK,PRECINCT 6,,440290006,GA Secretary of State Elections Division,,,,,
330290006,BRYAN,KELLER,PRECINCT 7,,440290007,GA Secretary of State Elections Division,,,,,
330290007,BRYAN,PEMBROKE,PRECINCT 1,,440290001,GA Secretary of State Elections Division,,,,,
330290008,BRYAN,PUBLIC SAFETY COMPX,PRECINCT 9,,440290009,GA Secretary of State Elections Division,,,,,
330290009,BRYAN,RH RECREATION COMPX,PRECINCT 5,,440290005,GA Secretary of State Elections Division,,,,,
330290010,BRYAN,WAYS STATION,PRECINCT 4,,440290004,GA Secretary of State Elections Division,,,,,
330310001,BULLOCH,BAY,,,440310006,GA Secretary of State Elections Division,,,,,
330310002,BULLOCH,BLITCH,,,440310002,GA Secretary of State Elections Division,,,,,
330310003,BULLOCH,BROOKLET,,,440310004,GA Secretary of State Elections Division,,,,,
330310004,BULLOCH,CHURCH,,,440310014,GA Secretary of State Elections Division,,,,,
330310005,BULLOCH,EMIT,,,440310010,GA Secretary of State Elections Division,,,,,
330310006,BULLOCH,FAIR,,,440310013,GA Secretary of State Elections Division,,,,,
330310007,BULLOCH,HAGIN,,,440310003,GA Secretary of State Elections Division,,,,,
330310008,BULLOCH,LEEFIELD,,,440310016,GA Secretary of State Elections Division,,,,,
330310009,BULLOCH,LOCKHART,,,440310001,GA Secretary of State Elections Division,,,,,
330310010,BULLOCH,NEVILS,,,440310007,GA Secretary of State Elections Division,,,,,
330310011,BULLOCH,PITTMAN PARK,,,440310015,GA Secretary of State Elections Division,,,,,
330310012,BULLOCH,PORTAL,,,440310012,GA Secretary of State Elections Division,,,,,
330310013,BULLOCH,REGISTER,,,440310009,GA Secretary of State Elections Division,,,,,
330310014,BULLOCH,SINKHOLE,,,440310008,GA Secretary of State Elections Division,,,,,
330310015,BULLOCH,STATESBORO,,,440310011,GA Secretary of State Elections Division,,,,,
330310016,BULLOCH,STILSON,,,440310005,GA Secretary of State Elections Division,,,,,
330330001,BURKE,ALEXANDER,,,440330001,GA Secretary of State Elections Division,,,,,
330330002,BURKE,BLAKENEY,,,440330002,GA Secretary of State Elections Division,Confirmed precinct with Burke County: 706 554 7457,,,,
330330003,BURKE,FOUR POINTS,,,440330003,GA Secretary of State Elections Division,,,,,
330330004,BURKE,GIRARD,,,440330004,GA Secretary of State Elections Division,,,,,
330330005,BURKE,GOUGH,,,440330005,GA Secretary of State Elections Division,,,,,
330330006,BURKE,GREENSCUT,,,440330006,GA Secretary of State Elections Division,,,,,
330330007,BURKE,KEYSVILLE,,,440330007,GA Secretary of State Elections Division,,,,,
330330008,BURKE,MIDVILLE,,,440330008,GA Secretary of State Elections Division,,,,,
330330010,BURKE,MUNNERLYN,,,440330009,GA Secretary of State Elections Division,,,,,
330330011,BURKE,NORTH WAYNESBORO,,,440330010,GA Secretary of State Elections Division,,,,,
330330012,BURKE,SARDIS,,,440330011,GA Secretary of State Elections Division,,,,,
330330013,BURKE,SCOTTS CROSSROADS,,,440330012,GA Secretary of State Elections Division,,,,,
330330014,BURKE,SOUTH WAYNESBORO,,,440330013,GA Secretary of State Elections Division,,,,,
330330015,BURKE,ST. CLAIR,,,440330014,GA Secretary of State Elections Division,,,,,
330330016,BURKE,TELFAIR,,,440330015,GA Secretary of State Elections Division,,,,,
330330017,BURKE,VIDETTE,,,440330016,GA Secretary of State Elections Division,,,,,
330350001,BUTTS,BUTTS CO COMM CENTER,,,440350001,GA Secretary of State Elections Division,,,,,
330350002,BUTTS,JENKINSBURG,,,440350002,GA Secretary of State Elections Division,,,,,
330350003,BUTTS,STARK,,,440350003,GA Secretary of State Elections Division,,,,,
330350004,BUTTS,TOWALIGA,,,440350004,GA Secretary of State Elections Division,,,,,
330350005,BUTTS,WORTHVILLE,,,440350005,GA Secretary of State Elections Division,,,,,
330370001,CALHOUN,ARLINGTON,,,440370001,GA Secretary of State Elections Division,,,,,
330370002,CALHOUN,EDISON,,,440370002,GA Secretary of State Elections Division,,,,,
330370003,CALHOUN,EDISON-ARLINGTON,,,440370003,GA Secretary of State Elections Division,,,,,
330370004,CALHOUN,LEARY,,,440370004,GA Secretary of State Elections Division,,,,,
330370005,CALHOUN,MORGAN,,,440370005,GA Secretary of State Elections Division,,,,,
330390001,CAMDEN,BROWNTOWN,,,440390001,GA Secretary of State Elections Division,,,,,
330390002,CAMDEN,EAST KINGSLAND,,,440390002,GA Secretary of State Elections Division,,,,,
330390003,CAMDEN,HARRIETTS BLUFF,,,440390003,GA Secretary of State Elections Division,,,,,
330390004,CAMDEN,KINGSLAND,,,440390004,GA Secretary of State Elections Division,,,,,
330390005,CAMDEN,MARY LEE CLARK,,,440390005,GA Secretary of State Elections Division,,,,,
330390006,CAMDEN,MUSH BLUFF,,,440390006,GA Secretary of State Elections Division,,,,,
330390007,CAMDEN,NORTH KINGSLAND,,,440390007,GA Secretary of State Elections Division,,,,,
330390008,CAMDEN,NORTH ST MARYS,,,440390008,GA Secretary of State Elections Division,,,,,
330390009,CAMDEN,SOUTH ST MARYS,,,440390009,GA Secretary of State Elections Division,,,,,
330390010,CAMDEN,TARBORO,,,440390010,GA Secretary of State Elections Division,,,,,
330390011,CAMDEN,WAVERLY,,,440390011,GA Secretary of State Elections Division,,,,,
330390012,CAMDEN,WEST KINGSLAND,,,440390012,GA Secretary of State Elections Division,,,,,
330390013,CAMDEN,WEST SAINT MARYS,,,440390013,GA Secretary of State Elections Division,,,,,
330390014,CAMDEN,WOODBINE,,,440390014,GA Secretary of State Elections Division,,,,,
330430001,CANDLER,CANDLER - 1736,1736,,440430001,GA Secretary of State Elections Division,,,,,
330430002,CANDLER,METTER - 1685,1685,,440430002,GA Secretary of State Elections Division,,,,,
330450001,CARROLL,BETHANY,501,,440450001,Carroll County Elections Department,,,,,
330450002,CARROLL,BONNER,714A3,,440450002,Carroll County Elections Department,,,,,
330450003,CARROLL,BOWDON,1111,,440450003,Carroll County Elections Department,,,,,
330450004,CARROLL,BOWDON JUNCTION,1496,,440450004,Carroll County Elections Department,,,,,
330450005,CARROLL,BURWELL,1371,,440450005,Carroll County Elections Department,,,,,
330450006,CARROLL,CENTER POINT,1152,,440450006,Carroll County Elections Department,,,,,
330450007,CARROLL,CLEM,1483,,440450007,Carroll County Elections Department,,,,,
330450008,CARROLL,COUNTY ADMIN,714A5,,440450008,Carroll County Elections Department,,,,,
330450009,CARROLL,EAST CARROLLTON REC,714A2,,440450009,Carroll County Elections Department,,,,,
330450010,CARROLL,EMC,714BN,,440450010,Carroll County Elections Department,,,,,
330450011,CARROLL,FAIRFIELD,1540,,440450011,Carroll County Elections Department,,,,,
330450012,CARROLL,HULETT,1542,,440450012,Carroll County Elections Department,,,,,
330450013,CARROLL,KANSAS,1006,,440450013,Carroll County Elections Department,,,,,
330450014,CARROLL,LOWELL,1163,,440450014,Carroll County Elections Department,,,,,
330450015,CARROLL,MT ZION,1240,,440450015,Carroll County Elections Department,,,,,
330450016,CARROLL,NEW HOPE,716,,440450016,Carroll County Elections Department,,,,,
330450017,CARROLL,OAK GROVE,715,,440450017,Carroll County Elections Department,,,,,
330450018,CARROLL,OLD CAMP,714BW,,440450018,Carroll County Elections Department,,,,,
330450019,CARROLL,ROOPVILLE,713,,440450019,Carroll County Elections Department,,,,,
330450020,CARROLL,SANDHILL,1122,,440450020,Carroll County Elections Department,,,,,
330450021,CARROLL,TABERNACLE,714A6,,440450021,Carroll County Elections Department,,,,,
330450022,CARROLL,TEMPLE CITY,650,,440450022,Carroll County Elections Department,,,,,
330450023,CARROLL,TEMPLE COUNTY,649,,440450023,Carroll County Elections Department,,,,,
330450024,CARROLL,TYUS,1533,,440450024,Carroll County Elections Department,,,,,
330450025,CARROLL,UNIVERSITY OF WEST GEORGIA,714A4,,440450025,Carroll County Elections Department,,,,,
330450026,CARROLL,VILLA RICA CITY,642,,440450026,Carroll County Elections Department,,,,,
330450027,CARROLL,VILLA RICA NORTH,641,,440450029,Carroll County Elections Department,,,,,
330450028,CARROLL,VILLA RICA SOUTH,640,,440450030,Carroll County Elections Department,,,,,
330450029,CARROLL,WEST CARROLLTON,714A1,,440450027,GA Secretary of State Elections Division,,,,,
330450030,CARROLL,WHITESBURG,682,,440450028,GA Secretary of State Elections Division,,,,,
330470001,CATOOSA,BLACKSTOCK 310,,,440470001,GA SOS & Catoosa County Elections Department,,,,,
330470002,CATOOSA,BOYNTON 304/305,,,440470002,GA SOS & Catoosa County Elections Department,,,,,
330470003,CATOOSA,CATOOSA KEITH 308,,,440470003,GA SOS & Catoosa County Elections Department,,,,,
330470004,CATOOSA,CHAMBERS 303,,,440470004,GA SOS & Catoosa County Elections Department,,,,,
330470005,CATOOSA,DUNCAN PARK 304/305,,,440470005,GA SOS & Catoosa County Elections Department,,,,,
330470006,CATOOSA,FT OGLETHORPE 301/302,,,440470006,GA SOS & Catoosa County Elections Department,,,,,
330470007,CATOOSA,GRAYSVILLE 306,,,440470007,GA SOS & Catoosa County Elections Department,,,,,
330470008,CATOOSA,LAKEVIEW 301/302,,,440470008,GA SOS & Catoosa County Elections Department,,,,,
330470009,CATOOSA,POPLAR SPRINGS 308,,,440470009,GA SOS & Catoosa County Elections Department,,,,,
330470010,CATOOSA,RINGGOLD 307,,,440470010,GA SOS & Catoosa County Elections Department,,,,,
330470011,CATOOSA,WESTSIDE 304/305,,,440470011,GA SOS & Catoosa County Elections Department,,,,,
330470012,CATOOSA,WOODSTATION 303,,,440470012,GA SOS & Catoosa County Elections Department,,,,,
330470013,CATOOSA,WOODSTATION 310,,,440470012,GA SOS & Catoosa County Elections Department,,,,,
330490001,CHARLTON,BEND FIRE STATION,,,440490001,GA Secretary of State Elections Division,,,,,
330490002,CHARLTON,FOLKSTON,,,440490002,GA Secretary of State Elections Division,,,,,
330490003,CHARLTON,FOLKSTON FIRE STATIO,,,440490003,GA Secretary of State Elections Division,,,,,
330490004,CHARLTON,FOLKSTON LIBRARY,,,440490004,GA Secretary of State Elections Division,,,,,
330490005,CHARLTON,HOMELAND,,,440490005,GA Secretary of State Elections Division,,,,,
330490006,CHARLTON,RACEPOND,,,440490006,GA Secretary of State Elections Division,,,,,
330490007,CHARLTON,ST. GEORGE,,,440490007,GA Secretary of State Elections Division,,,,,
330490008,CHARLTON,TRADERS HILL,,,440490008,GA Secretary of State Elections Division,,,,,
330490009,CHARLTON,WINOKUR,,,440490009,GA Secretary of State Elections Division,,,,,
330510001,CHATHAM,,1-01,,440510001,GA SOS & Chatham County Elections Department,,,,,
330510002,CHATHAM,,1-05,,440510002,GA SOS & Chatham County Elections Department,,,,,
330510003,CHATHAM,,1-06,,440510003,GA SOS & Chatham County Elections Department,,,,,
330510004,CHATHAM,,1-08,,440510004,GA SOS & Chatham County Elections Department,,,,,
330510005,CHATHAM,,1-09,,440510005,GA SOS & Chatham County Elections Department,,,,,
330510006,CHATHAM,,1-10,,440510006,GA SOS & Chatham County Elections Department,,,,,
330510007,CHATHAM,,1-12,,440510007,GA SOS & Chatham County Elections Department,,,,,
330510008,CHATHAM,,1-13,,440510008,GA SOS & Chatham County Elections Department,,,,,
330510009,CHATHAM,,1-14,,440510009,GA SOS & Chatham County Elections Department,,,,,
330510010,CHATHAM,,1-16,,440510010,GA SOS & Chatham County Elections Department,,,,,
330510011,CHATHAM,,1-17,,440510011,GA SOS & Chatham County Elections Department,,,,,
330510012,CHATHAM,,2-02,,440510012,GA SOS & Chatham County Elections Department,,,,,
330510013,CHATHAM,,2-03,,440510013,GA SOS & Chatham County Elections Department,,,,,
330510014,CHATHAM,,2-04,,440510014,GA SOS & Chatham County Elections Department,,,,,
330510015,CHATHAM,,2-05,,440510015,GA SOS & Chatham County Elections Department,,,,,
330510016,CHATHAM,,2-06,,440510016,GA SOS & Chatham County Elections Department,,,,,
330510017,CHATHAM,,2-07,,440510017,GA SOS & Chatham County Elections Department,,,,,
330510018,CHATHAM,,2-09,,440510018,GA SOS & Chatham County Elections Department,,,,,
330510019,CHATHAM,,2-11,,440510019,GA SOS & Chatham County Elections Department,,,,,
330510020,CHATHAM,,2-12,,440510020,GA SOS & Chatham County Elections Department,,,,,
330510021,CHATHAM,,3-01,,440510021,GA SOS & Chatham County Elections Department,,,,,
330510022,CHATHAM,,3-02,,440510022,GA SOS & Chatham County Elections Department,,,,,
330510023,CHATHAM,,3-03,,440510023,GA SOS & Chatham County Elections Department,,,,,
330510024,CHATHAM,,3-04,,440510024,GA SOS & Chatham County Elections Department,,,,,
330510025,CHATHAM,,3-05,,440510025,GA SOS & Chatham County Elections Department,,,,,
330510026,CHATHAM,,3-08,,440510026,GA SOS & Chatham County Elections Department,,,,,
330510027,CHATHAM,,3-09,,440510027,GA SOS & Chatham County Elections Department,,,,,
330510028,CHATHAM,,3-10,,440510028,GA SOS & Chatham County Elections Department,,,,,
330510029,CHATHAM,,3-11,,440510029,GA SOS & Chatham County Elections Department,,,,,
